"Sample.number","Plate.number","ID","Dung.batch","Batch","Pop","NC","Temp","Date.Hatching","Date.First.Transfer","Date.3rd.Ins","Mass.3rd.Ins","Date.PP","Sex","Date.Pupa","Days.to.Pupa","Mass.Pupa","Day.Adult","Adult.Body.Size","Day.Dead","Exclude.date.3rd","Exclude.Mass.3rd","Exclude.Mass.pupa","Exclude.adult","Exclude.death","Exclude.all","Notes"
"875","65.2","65-A3",2,31,"W. Australia","-","Fluctuating","2017-12-23","2017-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-11","No","No","No","No","No","No","dead 1/11"
"876","66.2","66-A1",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29","2018-01-04",0.0455,NA,NA,NA,NA,NA,NA,NA,"2018-01-22","No","No","No","No","No","No","Dead 1/22"
"877","66.2","66-A2",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-18","No","No","No","No","No","No","Looks L2 on 1/10, dead 1/18"
"878","66.2","66-A3",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-02","Yes","Yes","Yes","Yes","Yes","Yes","Accidentally killed 1/2"
"879","66.2","66-A4",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-02","No","No","No","No","No","No","Dead 1/2"
"880","66.2","66-B1",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29","2018-01-10",NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-12","No","No","No","No","No","No","Dead 1/12"
"881","66.2","66-B2",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-12","No","No","No","No","No","No","Dead 1/12"
"882","66.2","66-B3",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-06","No","No","No","No","No","No","Dead 1/6"
"883","66.2","66-B4",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12-31","No","No","No","No","No","No","Dead 12/31"
"884","66.2","66-C1",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-08","No","No","No","No","No","No","Dead 1/8"
"885","66.2","66-C2",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29","2018-01-08",NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-16","No","No","No","No","No","No","Dead 1/16"
"886","66.2","66-C3",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-06","No","No","No","No","No","No","Dead 1/6"
"887","66.2","66-C4",2,31,"W. Australia","+","Fluctuating","2017-12-28","2017-12-29","2018-01-04",0.0973,"2018-01-24","Female","2018-01-26",22,0.0425,NA,3.379,"2018-02-06","No","No","No","No","No","No","Did not eclose properly to adult. 2/6"
"888","67.2","67-A1",2,31,"W. Australia","-","Fluctuating","2017-12-29","2017-12-30","2018-01-09",NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-13","No","No","No","No","No","No","Dead 1/13"
"889","67.2","67-A2",2,31,"W. Australia","-","Fluctuating","2017-12-29","2017-12-30","2018-01-07",0.0675,NA,NA,NA,NA,NA,NA,NA,"2018-01-31","No","No","No","No","No","No","Dead 1/31"
"890","67.2","67-A3",2,31,"W. Australia","-","Fluctuating","2017-12-29","2017-12-30","2018-01-15",NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-21","No","Maybe","Maybe","No","Maybe","Maybe","Small kink in head on 1/15, Dead 1/21"
"891","67.2","67-A4",2,31,"W. Australia","-","Fluctuating","2017-12-29","2017-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-05","No","No","No","No","No","No","Dead 1/5"
"892","67.2","67-B1",2,31,"W. Australia","-","Fluctuating","2017-12-29","2017-12-30","2018-01-07",0.0321,NA,NA,NA,NA,NA,NA,NA,"2018-01-19","No","Maybe","Maybe","No","Maybe","Maybe","Kinked 1/11, dead 1/19"
"893","67.2","67-B2",2,31,"W. Australia","-","Fluctuating","2017-12-29","2017-12-30","2018-01-09",NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-19","No","No","No","No","No","No","Dead 1/19"
"894","67.2","67-B3",2,31,"W. Australia","-","Fluctuating","2017-12-29","2017-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-03","No","No","No","No","No","No","Dead 1/3"
"895","67.2","67-B4",2,31,"W. Australia","-","Fluctuating","2017-12-29","2017-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01-05","No","No","No","No","No","No","Dead 1/5"
